ep01,ep04,pi02,pv01,lm01,lm02,hs01,hs04,hs06,hs07,sex,age,iscd975,work,inc,miscd975,fiscd975,gkpol,hhinc,mstat,gd02,fe13,fe14,fe15,fe16,fe17,mc04,im18,xt10
,,SOZ.LEIST.AUSWEITEN,CDU-CSU,AN ALLEN 7 TAGEN,180.0,ZUFRIEDENSTELLEND,NIE,OFT,MANCHMAL,FRAU,79.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1875,UPPER SECONDARY,TERTIARY EDUCATION,50.000 - 99.999 EINW,1875,VERWITWET,47,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,NEIN,STIMME EHER ZU,90.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,105.0,GUT,,,,FRAU,51.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",813,LOWER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,26,,,,,,JA,STIMME EHER ZU,75.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,150.0,WENIGER GUT,NIE,MANCHMAL,FAST NIE,MANN,66.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1438,UPPER SECONDARY,UPPER SECONDARY,,4750,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,300.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN 6 TAGEN,270.0,,FAST NIE,OFT,FAST NIE,MANN,68.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,2125,TERTIARY EDUCATION,TERTIARY EDUCATION,BIS 1.999 EINWOHNER,2875,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,,STIMME EHER ZU,180.0
,,,SPD,AN ALLEN 7 TAGEN,300.0,SEHR GUT,NIE,IMMER,MANCHMAL,MANN,67.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1800,TERTIARY EDUCATION,TERTIARY EDUCATION,2.000  -  4.999 EINW,1800,VERWITWET,36,VIERTE STELLE,FUENFTE STELLE,ZWEITE STELLE,DRITTE STELLE,AM WICHTIGSTEN,JA,STIMME VOLL ZU,57.0
,,SOZ.LEIST.AUSWEITEN,,AN 6 TAGEN,240.0,GUT,OFT,OFT,MANCHMAL,FRAU,36.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2125,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,2125,LEDIG,8,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,JA,STIMME EHER NICHT ZU,102.0
,,,AFD,AN 5 TAGEN,150.0,WENIGER GUT,MANCHMAL,MANCHMAL,FAST NIE,FRAU,32.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1875,UPPER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,3750,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,4505.0
,,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,90.0,GUT,OFT,MANCHMAL,MANCHMAL,MANN,63.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4250,LOWER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,,VERH.GETRENNT LEBEND,36,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER ZU,
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 4 TAGEN,105.0,GUT,,,,FRAU,58.0,POST SECONDARY,"TEILZEIT, HALBTAGS",1063,LOWER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,4250,VERHEIRAT.ZUSAM.LEB.,23,,,,,,NEIN,STIMME EHER NICHT ZU,50.0
SEHR GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,SPD,AN 6 TAGEN,180.0,GUT,MANCHMAL,OFT,OFT,MANN,19.0,UPPER SECONDARY,NEBENHER BERUFSTAE.,450,TERTIARY EDUCATION,TERTIARY EDUCATION,20.000 - 49.999 EINW,3250,LEDIG,,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,469.0
GUT,GLEICHBLEIBEND,,CDU-CSU,AN 4 TAGEN,120.0,GUT,,,,FRAU,38.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,38,,,,,,NEIN,STIMME EHER NICHT ZU,22.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN 3 TAGEN,120.0,SEHR GUT,MANCHMAL,MANCHMAL,OFT,FRAU,32.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1300,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,4000,VERHEIRAT.ZUSAM.LEB.,,,,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,50.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,CDU-CSU,AN ALLEN 7 TAGEN,240.0,ZUFRIEDENSTELLEND,,,,MANN,71.0,LOWER SECONDARY,NICHT ERWERBSTAETIG,813,,,50.000 - 99.999 EINW,813,LEDIG,71,,,,,,NEIN,STIMME EHER ZU,
,,SOZ.LEIST.KUERZEN,,AN ALLEN 7 TAGEN,240.0,GUT,MANCHMAL,MANCHMAL,MANCHMAL,FRAU,37.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,2375,VERHEIRAT.ZUSAM.LEB.,6,AM WICHTIGSTEN,FUENFTE STELLE,DRITTE STELLE,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,51.0
GUT,GLEICHBLEIBEND,,CDU-CSU,AN ALLEN 7 TAGEN,120.0,GUT,MANCHMAL,OFT,OFT,FRAU,41.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",3250,LOWER SECONDARY,TERTIARY EDUCATION,20.000 - 49.999 EINW,5500,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,,STIMME EHER NICHT ZU,66.0
,,SOZ.LEIST.WIE BISHER,,AN 6 TAGEN,180.0,ZUFRIEDENSTELLEND,MANCHMAL,MANCHMAL,MANCHMAL,FRAU,50.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2100,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,3800,VERHEIRAT.ZUSAM.LEB.,50,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER NICHT ZU,71.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,CDU-CSU,AN EINEM TAG,180.0,GUT,,,,FRAU,19.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,TERTIARY EDUCATION,TERTIARY EDUCATION,5.000  - 19.999 EINW,KEIN EINKOMMEN,LEDIG,7,,,,,,,STIMME EHER ZU,50.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,FDP,AN ALLEN 7 TAGEN,300.0,GUT,,,,FRAU,56.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",813,UPPER SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,2875,GESCHIEDEN,6,,,,,,JA,STIMME GAR NICHT ZU,120.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,WUERDE NICHT WAEHLEN,AN 2 TAGEN,180.0,GUT,NIE,MANCHMAL,MANCHMAL,FRAU,55.0,POST SECONDARY,"TEILZEIT, HALBTAGS",938,BASIC EDUCATION,BASIC EDUCATION,100.000 - 499.999 E.,2375,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,97.0
SCHLECHT,ETWAS SCHLECHTER,,FDP,AN ALLEN 7 TAGEN,60.0,GUT,,,,MANN,48.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,,VERHEIRAT.ZUSAM.LEB.,43,,,,,,JA,STIMME EHER NICHT ZU,29.0
,,SOZ.LEIST.WIE BISHER,AFD,AN 5 TAGEN,210.0,GUT,MANCHMAL,OFT,OFT,MANN,62.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2625,LOWER SECONDARY,TERTIARY EDUCATION,500.000 UND MEHR E.,3250,VERHEIRAT.ZUSAM.LEB.,62,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,50.0
,,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,330.0,GUT,FAST NIE,OFT,OFT,FRAU,68.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1438,UPPER SECONDARY,TERTIARY EDUCATION,50.000 - 99.999 EINW,1438,,16,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,120.0
,,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN 5 TAGEN,60.0,GUT,FAST NIE,OFT,OFT,FRAU,28.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,3000,TERTIARY EDUCATION,TERTIARY EDUCATION,100.000 - 499.999 E.,6000,LEDIG,3,,,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,28.0
TEILS TEILS,ETWAS BESSER,,,AN ALLEN 7 TAGEN,,GUT,NIE,OFT,OFT,MANN,82.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,3750,,,5.000  - 19.999 EINW,3750,VERHEIRAT.ZUSAM.LEB.,,,DRITTE STELLE,AM WICHTIGSTEN,,ZWEITE STELLE,,STIMME GAR NICHT ZU,75.0
GUT,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,,GUT,,,,MANN,74.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1625,LOWER SECONDARY,UPPER SECONDARY,BIS 1.999 EINWOHNER,2125,VERHEIRAT.ZUSAM.LEB.,46,,,,,,NEIN,STIMME VOLL ZU,60.0
,,SOZ.LEIST.WIE BISHER,FDP,AN ALLEN 7 TAGEN,240.0,GUT,NIE,OFT,MANCHMAL,FRAU,66.0,TERTIARY EDUCATION,NEBENHER BERUFSTAE.,2875,UPPER SECONDARY,TERTIARY EDUCATION,20.000 - 49.999 EINW,3750,VERHEIRAT.ZUSAM.LEB.,43,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER NICHT ZU,65.0
TEILS TEILS,ETWAS SCHLECHTER,,AFD,AN ALLEN 7 TAGEN,180.0,GUT,MANCHMAL,OFT,OFT,FRAU,56.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1980,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,3500,VERHEIRAT.ZUSAM.LEB.,,AM WICHTIGSTEN,FUENFTE STELLE,DRITTE STELLE,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,72.0
TEILS TEILS,ETWAS SCHLECHTER,,,AN ALLEN 7 TAGEN,120.0,GUT,,,,MANN,66.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,15,,,,,,JA,STIMME EHER NICHT ZU,37.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,150.0,SEHR GUT,MANCHMAL,MANCHMAL,MANCHMAL,MANN,20.0,LOWER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,,LEDIG,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,,STIMME EHER NICHT ZU,60.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,CDU-CSU,NIE,,GUT,OFT,OFT,MANCHMAL,MANN,36.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4250,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,4250,LEDIG,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,45.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.KUERZEN,AFD,NIE,,ZUFRIEDENSTELLEND,,,,MANN,19.0,UPPER SECONDARY,NEBENHER BERUFSTAE.,450,UPPER SECONDARY,UPPER SECONDARY,BIS 1.999 EINWOHNER,450,GESCHIEDEN,1,,,,,,JA,STIMME EHER NICHT ZU,25.0
TEILS TEILS,ETWAS SCHLECHTER,,WUERDE NICHT WAEHLEN,AN ALLEN 7 TAGEN,320.0,GUT,MANCHMAL,OFT,OFT,FRAU,33.0,LOWER SECONDARY,"TEILZEIT, HALBTAGS",250,LOWER SECONDARY,UPPER SECONDARY,,,,,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,DRITTE STELLE,,STIMME EHER ZU,114.0
,,SOZ.LEIST.WIE BISHER,,,,ZUFRIEDENSTELLEND,NIE,IMMER,MANCHMAL,MANN,71.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,2125,UPPER SECONDARY,,,,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,
GUT,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,WUERDE NICHT WAEHLEN,AN ALLEN 7 TAGEN,90.0,ZUFRIEDENSTELLEND,MANCHMAL,MANCHMAL,FAST NIE,MANN,56.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1500,UPPER SECONDARY,UPPER SECONDARY,BIS 1.999 EINWOHNER,2800,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,DRITTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,,STIMME EHER ZU,72.0
,,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,135.0,GUT,MANCHMAL,MANCHMAL,MANCHMAL,FRAU,57.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1400,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,5000,VERHEIRAT.ZUSAM.LEB.,32,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,38.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN ALLEN 7 TAGEN,120.0,GUT,,,,MANN,36.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3600,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,5500,VERHEIRAT.ZUSAM.LEB.,10,,,,,,NEIN,STIMME EHER ZU,49.0
,,SOZ.LEIST.AUSWEITEN,,AN EINEM TAG,120.0,SEHR GUT,OFT,FAST NIE,MANCHMAL,MANN,26.0,UPPER SECONDARY,NEBENHER BERUFSTAE.,200,POST SECONDARY,POST SECONDARY,5.000  - 19.999 EINW,3000,LEDIG,UNTER 1 JAHR,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER NICHT ZU,66.0
,,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,630.0,ZUFRIEDENSTELLEND,OFT,FAST NIE,FAST NIE,FRAU,60.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2875,BASIC EDUCATION,LOWER SECONDARY,20.000 - 49.999 EINW,4250,VERHEIRAT.ZUSAM.LEB.,34,VIERTE STELLE,FUENFTE STELLE,ZWEITE STELLE,DRITTE STELLE,AM WICHTIGSTEN,JA,STIMME VOLL ZU,50.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,DIE LINKE,AN ALLEN 7 TAGEN,120.0,WENIGER GUT,MANCHMAL,FAST NIE,FAST NIE,MANN,74.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1600,LOWER SECONDARY,,50.000 - 99.999 EINW,1600,VERWITWET,,VIERTE STELLE,FUENFTE STELLE,ZWEITE STELLE,DRITTE STELLE,AM WICHTIGSTEN,,STIMME EHER NICHT ZU,127.0
,,SOZ.LEIST.AUSWEITEN,,AN 6 TAGEN,120.0,SEHR GUT,MANCHMAL,OFT,IMMER,FRAU,28.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,,LEDIG,6,FUENFTE STELLE,VIERTE STELLE,ZWEITE STELLE,DRITTE STELLE,AM WICHTIGSTEN,,STIMME EHER ZU,38.0
,,SOZ.LEIST.KUERZEN,NICHT WAHLBERECHTIGT,AN ALLEN 7 TAGEN,180.0,ZUFRIEDENSTELLEND,MANCHMAL,MANCHMAL,MANCHMAL,FRAU,55.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",1063,LOWER SECONDARY,LOWER SECONDARY,100.000 - 499.999 E.,1063,GESCHIEDEN,41,DRITTE STELLE,VIERTE STELLE,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,,STIMME GAR NICHT ZU,4270.0
,,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,240.0,GUT,FAST NIE,OFT,OFT,FRAU,29.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1875,POST SECONDARY,POST SECONDARY,5.000  - 19.999 EINW,1875,LEDIG,29,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,44.0
,,SOZ.LEIST.WIE BISHER,,AN 6 TAGEN,180.0,SEHR GUT,OFT,OFT,MANCHMAL,FRAU,40.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",450,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,4250,VERHEIRAT.ZUSAM.LEB.,15,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,NEIN,STIMME EHER NICHT ZU,50.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,210.0,ZUFRIEDENSTELLEND,NIE,MANCHMAL,MANCHMAL,MANN,78.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,,LOWER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,,STIMME VOLL ZU,80.0
,,,ANDERE PARTEI,AN ALLEN 7 TAGEN,120.0,GUT,OFT,OFT,MANCHMAL,FRAU,63.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",938,UPPER SECONDARY,TERTIARY EDUCATION,20.000 - 49.999 EINW,1625,GESCHIEDEN,42,AM WICHTIGSTEN,VIERTE STELLE,FUENFTE STELLE,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME VOLL ZU,93.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,,AN 5 TAGEN,720.0,GUT,OFT,MANCHMAL,MANCHMAL,FRAU,39.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",938,UPPER SECONDARY,POST SECONDARY,5.000  - 19.999 EINW,4250,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,95.0
GUT,ETWAS BESSER,SOZ.LEIST.KUERZEN,FDP,AN 6 TAGEN,60.0,GUT,,,,MANN,26.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3250,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,,LEDIG,13,,,,,,JA,STIMME EHER NICHT ZU,
,,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN ALLEN 7 TAGEN,105.0,GUT,OFT,MANCHMAL,FAST NIE,FRAU,45.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",2500,TERTIARY EDUCATION,TERTIARY EDUCATION,50.000 - 99.999 EINW,7000,VERHEIRAT.ZUSAM.LEB.,17,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,38.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,WUERDE NICHT WAEHLEN,AN 5 TAGEN,240.0,WENIGER GUT,OFT,MANCHMAL,MANCHMAL,MANN,51.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2375,LOWER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,2875,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,VIERTE STELLE,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,,STIMME VOLL ZU,91.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,ANDERE PARTEI,AN ALLEN 7 TAGEN,180.0,WENIGER GUT,,,,FRAU,65.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,938,TERTIARY EDUCATION,TERTIARY EDUCATION,2.000  -  4.999 EINW,2375,VERHEIRAT.ZUSAM.LEB.,65,,,,,,NEIN,STIMME EHER ZU,60.0
SCHLECHT,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,,AN ALLEN 7 TAGEN,90.0,SCHLECHT,,,,MANN,54.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,855,,,BIS 1.999 EINWOHNER,,VERHEIRAT.ZUSAM.LEB.,,,,,,,JA,STIMME GAR NICHT ZU,46.0
,,,WUERDE NICHT WAEHLEN,AN ALLEN 7 TAGEN,180.0,ZUFRIEDENSTELLEND,OFT,FAST NIE,IMMER,FRAU,64.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1313,UPPER SECONDARY,UPPER SECONDARY,BIS 1.999 EINWOHNER,,VERHEIRAT.ZUSAM.LEB.,64,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,FUENFTE STELLE,DRITTE STELLE,JA,STIMME VOLL ZU,8895.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,240.0,ZUFRIEDENSTELLEND,,,,FRAU,92.0,LOWER SECONDARY,NICHT ERWERBSTAETIG,1063,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,1063,VERWITWET,76,,,,,,NEIN,STIMME VOLL ZU,
,,SOZ.LEIST.AUSWEITEN,AFD,AN ALLEN 7 TAGEN,240.0,GUT,FAST NIE,MANCHMAL,MANCHMAL,FRAU,43.0,POST SECONDARY,"VOLLZEIT, GANZTAGS",2125,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,2125,GESCHIEDEN,2,FUENFTE STELLE,DRITTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,NEIN,STIMME VOLL ZU,47.0
SCHLECHT,GLEICHBLEIBEND,SOZ.LEIST.KUERZEN,,SELTENER,150.0,ZUFRIEDENSTELLEND,OFT,FAST NIE,NIE,FRAU,26.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1875,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,4250,LEDIG,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,2355.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,180.0,GUT,OFT,MANCHMAL,MANCHMAL,FRAU,54.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3400,UPPER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,6800,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,,STIMME EHER ZU,33.0
,,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,SELTENER,180.0,GUT,OFT,FAST NIE,MANCHMAL,FRAU,36.0,TERTIARY EDUCATION,NEBENHER BERUFSTAE.,1438,UPPER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,1438,VERH.GETRENNT LEBEND,UNTER 1 JAHR,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME VOLL ZU,38.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,240.0,ZUFRIEDENSTELLEND,,,,FRAU,78.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1063,LOWER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,2875,VERHEIRAT.ZUSAM.LEB.,74,,,,,,JA,STIMME EHER NICHT ZU,75.0
,,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,300.0,WENIGER GUT,FAST NIE,FAST NIE,NIE,FRAU,78.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,2300,UPPER SECONDARY,TERTIARY EDUCATION,20.000 - 49.999 EINW,5500,VERHEIRAT.ZUSAM.LEB.,5,,,AM WICHTIGSTEN,,,,STIMME VOLL ZU,69.0
TEILS TEILS,ETWAS SCHLECHTER,,AFD,AN ALLEN 7 TAGEN,720.0,GUT,,,,FRAU,55.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,UPPER SECONDARY,TERTIARY EDUCATION,50.000 - 99.999 EINW,6750,VERHEIRAT.ZUSAM.LEB.,55,,,,,,NEIN,STIMME GAR NICHT ZU,73.0
,,SOZ.LEIST.KUERZEN,CDU-CSU,AN ALLEN 7 TAGEN,120.0,GUT,MANCHMAL,MANCHMAL,FAST NIE,FRAU,54.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,32,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,12.0
